step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,2112,64,0.4068952424724558,0.0,0.0,0.4692228363750473,0.0,0.0,,
2,3712,128,0.450168081201835,0.03125,0.03125,,,,,
3,5312,192,0.3937960355028735,0.0,0.0,,,,,
4,6912,256,0.38612157210142567,0.0,0.0,,,,,
5,8512,320,0.36207826496093864,0.0,0.0,,,,,
6,9600,384,0.5123547781543266,0.015625,0.015625,,,,,
7,11200,448,0.338296373958741,0.046875,0.046875,,,,,
8,12800,512,0.3322355209443704,0.046875,0.046875,,,,,
9,14400,576,0.30681793378328925,0.078125,0.078125,,,,,
10,16000,640,0.3252726978719645,0.078125,0.078125,,,,,
11,17600,704,0.3066651808307957,0.078125,0.078125,,,,,
12,19200,768,0.29883549912016566,0.078125,0.078125,,,,,
13,20800,832,0.31017978678686026,0.0625,0.0625,,,,,
14,22912,896,0.21467350274610905,0.078125,0.078125,,,,,
15,24512,960,0.3099066729291129,0.046875,0.046875,,,,,
16,26112,1024,0.28041804432815903,0.140625,0.140625,0.3029772026350277,0.078125,0.078125,,
17,28224,1088,0.21443949974157023,0.078125,0.078125,,,,,
18,30336,1152,0.2316777574986162,0.046875,0.046875,,,,,
19,32960,1216,0.1664216153767711,0.0625,0.0625,,,,,
20,35072,1280,0.2169309396214885,0.09375,0.09375,,,,,
21,36160,1344,0.4045338699384331,0.15625,0.15625,,,,,
22,37760,1408,0.2877504503723988,0.125,0.125,,,,,
23,39360,1472,0.2838133476232694,0.1875,0.1875,,,,,
24,40960,1536,0.27152596954960395,0.125,0.125,,,,,
25,42560,1600,0.2674450998916655,0.09375,0.09375,,,,,
26,44672,1664,0.21200980535445524,0.125,0.125,,,,,
27,46272,1728,0.2770752581404451,0.125,0.125,,,,,
28,47872,1792,0.255935542275923,0.15625,0.15625,,,,,
29,49472,1856,0.2705140021274474,0.109375,0.109375,,,,,
30,51072,1920,0.25250215914550156,0.203125,0.203125,,,,,
31,52672,1984,0.2504112099428312,0.25,0.25,0.2533267054603736,0.28125,0.28125,,
32,54272,2048,0.26236251023601653,0.203125,0.203125,,,,,
33,55872,2112,0.24197962967538347,0.28125,0.28125,,,,,
34,57984,2176,0.1925705487844766,0.21875,0.21875,,,,,
35,59584,2240,0.24900361053016695,0.15625,0.15625,,,,,
36,61184,2304,0.24753069876983794,0.296875,0.296875,,,,,
37,63296,2368,0.19105409127157313,0.21875,0.21875,,,,,
38,64896,2432,0.24946729766325004,0.234375,0.234375,,,,,
39,65984,2496,0.33274166862447596,0.359375,0.359375,,,,,
40,67584,2560,0.24146547716031816,0.265625,0.265625,,,,,
41,69184,2624,0.23334251770242342,0.375,0.375,,,,,
42,70272,2688,0.34195780559612104,0.265625,0.265625,,,,,
43,71360,2752,0.34030857427162575,0.34375,0.34375,,,,,
44,72960,2816,0.23933820288784965,0.40625,0.40625,,,,,
45,74048,2880,0.346965969659891,0.25,0.25,,,,,
46,75648,2944,0.23001585880316877,0.390625,0.390625,0.21991421323734053,0.40625,0.40625,,
47,77248,3008,0.2304983185869787,0.453125,0.453125,,,,,
48,78848,3072,0.2312290490024983,0.484375,0.484375,,,,,
49,80960,3136,0.16058874863985298,0.4375,0.4375,,,,,
50,83072,3200,0.17212003086707456,0.375,0.375,,,,,
51,84672,3264,0.19976043202916383,0.53125,0.53125,,,,,
